time,load,Pd,Qd
147,70.0,LOAD7,23.0,-1.528
148,70.0,LOAD14,150.0,144.9211
149,70.0,LOAD15,56.0,-1.6018
150,70.0,LOAD20,5.0,-0.17685
151,70.0,LOAD21,15.0,-0.60433
152,70.0,LOAD12,23.0,-4.4436
153,70.0,LOAD9,68.0,-1.8868
154,70.0,LOAD18,68.0,-0.034361
155,70.0,LOAD11,41.0,-1.4936
156,70.0,LOAD22,124.0,125.0207
157,70.0,LOAD8,61.0,-2.2799
158,70.0,LOAD13,43.0,-2.4224
159,70.0,LOAD16,183.0,200.8074
160,70.0,LOAD3,23.0,-4.0505
161,80.0,LOAD18,68.0,-0.034361
162,80.0,LOAD11,41.0,-1.4936
163,80.0,LOAD4,22.0,-2.2799
164,80.0,LOAD13,43.0,-2.4224
165,80.0,LOAD2,153.0,126.0868
166,80.0,LOAD23,229.0,227.5026
167,80.0,LOAD1,46.0,-1.9949
168,80.0,LOAD19,61.0,-0.46184
169,80.0,LOAD14,150.0,144.9211
170,80.0,LOAD15,56.0,-1.6018
171,80.0,LOAD20,5.0,-0.17685
172,80.0,LOAD12,23.0,-4.4436
173,80.0,LOAD16,183.0,200.8074
174,80.0,LOAD8,61.0,-2.2799
175,80.0,LOAD3,23.0,-4.0505
176,80.0,LOAD17,46.0,-1.9949
177,80.0,LOAD21,15.0,-0.60433
178,80.0,LOAD9,68.0,-1.8868
179,80.0,LOAD5,230.0,248.6307
180,80.0,LOAD10,125.0,-2.5649
181,80.0,LOAD7,23.0,-1.528
182,80.0,LOAD6,24.0,-1.6361
183,80.0,LOAD22,124.0,125.0207
184,90.0,LOAD1,46.0,-1.9949
185,90.0,LOAD2,53.0,-0.46184
186,90.0,LOAD6,204.0,226.1515
187,90.0,LOAD15,56.0,-1.6018
188,90.0,LOAD21,15.0,-0.60433
189,90.0,LOAD17,46.0,-1.9949
190,90.0,LOAD12,23.0,-4.4436
191,90.0,LOAD8,61.0,-2.2799
192,90.0,LOAD23,229.0,227.5026
193,90.0,LOAD22,124.0,125.0207
194,90.0,LOAD18,238.0,215.0984
195,90.0,LOAD3,193.0,211.0823
196,90.0,LOAD14,30.0,-6.9373
197,90.0,LOAD11,41.0,-1.4936
198,90.0,LOAD7,23.0,-1.528
199,90.0,LOAD19,61.0,-0.46184
200,90.0,LOAD10,125.0,-2.5649
201,90.0,LOAD5,230.0,248.6307
202,90.0,LOAD13,43.0,-2.4224
203,90.0,LOAD20,5.0,-0.17685
204,90.0,LOAD9,68.0,-1.8868
